epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.571,0,44.8854,0,0,0,0,0,0,55.8639,0,0.000660494,0.000660494,0.000660494
2,898.191,0,29.7602,0,0,0,0,0,0,39.939,0,0.00119577,0.00119577,0.00119577
3,1378.85,0,20.4783,0,0,0,0,0,0,26.3499,0,0.00159905,0.00159905,0.00159905
4,1875.98,0,13.556,0,0,0,0,0,0,18.7789,0,0.001406,0.001406,0.001406
5,2353.65,0,8.76496,0,0,0,0,0,0,18.4003,0,0.001208,0.001208,0.001208
6,2782.12,0,5.87141,0,0,0,0,0,0,7.66905,0,0.00101,0.00101,0.00101
7,3201.08,0,4.09314,0,0,0,0,0,0,5.81831,0,0.000812,0.000812,0.000812
8,3658.28,0,3.04726,0,0,0,0,0,0,178.282,0,0.000614,0.000614,0.000614
9,4075.18,0,2.44663,0,0,0,0,0,0,3.69325,0,0.000416,0.000416,0.000416
10,4531.37,0,2.12868,0,0,0,0,0,0,3.30714,0,0.000218,0.000218,0.000218
