epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,465.847,1.96306,1.77428,1.37211,0.86083,0.72021,0.81007,0.37828,1.77288,1.33821,1.15386,0.000660436,0.000660436,0.000660436
2,975.173,1.55802,1.11833,1.12192,0.91694,0.79315,0.88813,0.44944,1.5972,1.04239,1.16223,0.00119572,0.00119572,0.00119572
3,1433.92,1.44861,1.00042,1.08323,0.9512,0.82995,0.92823,0.54484,1.38898,0.94449,1.06203,0.001599,0.001599,0.001599
4,1899.1,1.33169,0.88551,1.03222,0.93712,0.85944,0.948,0.58616,1.22466,0.83263,0.99963,0.001406,0.001406,0.001406
5,2434.79,1.24243,0.8049,1.00065,0.9639,0.86885,0.95838,0.60184,1.22897,0.77425,1.00723,0.001208,0.001208,0.001208
6,2979.95,1.18246,0.74333,0.97746,0.9608,0.89538,0.97285,0.63273,1.17977,0.71618,0.98321,0.00101,0.00101,0.00101
7,3579.67,1.10808,0.68687,0.95808,0.9769,0.91571,0.98156,0.69321,1.02759,0.62121,0.93752,0.000812,0.000812,0.000812
8,4396.44,1.03148,0.63424,0.93235,0.97382,0.92222,0.98419,0.71568,0.95009,0.58757,0.91934,0.000614,0.000614,0.000614
9,5158.14,0.98788,0.60278,0.91859,0.98286,0.92041,0.98558,0.73245,0.91426,0.54624,0.90557,0.000416,0.000416,0.000416
10,5990.81,0.93892,0.57181,0.90512,0.97614,0.92827,0.9857,0.74873,0.86565,0.5302,0.89274,0.000218,0.000218,0.000218
