city,area,parking_lot_name,day_of_week,time_of_day,is_weekend,is_holiday,weather_condition,temperature_c,traffic_density,distance_from_user_km,vehicle_type,base_price,dynamic_multiplier,final_price,event_nearby,total_slots,occupied_slots,free_slots,slots_free_in_15min,future_bookings_15min,availability_score
Pune,Hadapsar,amanora_mall,Wednesday,9.02,0,0,Clear,22.1,0.641,18.65,motorcycle,50.0,1.2,60.0,0,800,597,203,238,44,0.1353
Pune,Magarpatta,seasons_mall,Sunday,19.23,1,0,Clear,31.4,0.664,10.85,car,50.0,0.8,40.0,0,600,127,473,480,124,0.9341
Pune,Kharadi,pict_campus,Thursday,7.77,0,0,Cloudy,24.6,0.217,15.9,scooter,50.0,0.8,40.0,0,500,74,426,430,148,0.706
Pune,Magarpatta,seasons_mall,Sunday,9.4,1,0,Rainy,27.0,0.984,7.04,scooter,50.0,1.2,60.0,0,600,214,386,400,142,0.5783
Pune,Kharadi,pict_campus,Thursday,13.72,0,0,Clear,32.3,0.722,10.33,car,50.0,1.5,75.0,0,500,426,74,125,15,0.0312
Pune,Hadapsar,amanora_mall,Sunday,20.15,1,0,Cloudy,31.2,0.271,14.8,car,50.0,0.8,40.0,0,800,40,760,763,286,0.98
Pune,Kharadi,kharadi_it_park,Tuesday,19.63,0,0,Cloudy,28.2,0.988,21.59,car,50.0,1.2,60.0,0,400,270,130,157,29,0.5402
Pune,Magarpatta,seasons_mall,Thursday,11.48,0,1,Clear,33.6,0.443,15.82,scooter,50.0,0.8,40.0,0,600,35,565,568,112,0.8135
Pune,Magarpatta,seasons_mall,Sunday,16.52,1,1,Cloudy,18.1,0.496,14.4,car,50.0,0.8,40.0,0,600,66,534,543,165,0.8409
Pune,Kharadi,eon_it_park,Tuesday,11.27,0,0,Cloudy,31.7,0.772,19.0,motorcycle,50.0,1.5,75.0,0,350,307,43,78,11,0.1348
